순위,매물 이름,거래 유형,가격,업로드 날짜,매물 유형,방 갯수,면적,층수,상세 설명,위치
41,한솔청구 105동,전세,"42,000 만원",20.12.08,아파트,방2개,66.15/49.35㎡,13층/총14층,1월21일. 거실확장. 도배해줌. 싱크대교체. 전등교체. 우수학군,경기도  성남시  정자동
42,한솔청구 105동,전세,"42,000 만원",20.12.07,아파트,방2개,66.15/49.35㎡,13층/총14층,1월21일.거실확장. 도배해줌. 싱크대교체. 전등교체. 전망굿,경기도  성남시  정자동
43,느티공무원4단지 408동,전세,"54,000 만원",20.12.05,아파트,방3개,92.07B/67.43㎡,고층/-,"남향추천,조경전망 방3개 27타입 융무 전세대출가 정자환승역도보10분",경기도  성남시  정자동
44,"상록보성,임광 408동",매매,"110,000 만원",20.12.05,아파트,방3개,87.51/67.43㎡,중층/-,"특올수리,입주물추천,남향 전망깨끗 26타입급매 or전세안고광역정류장가깝고",경기도  성남시  정자동
45,"상록보성,임광 404동",매매,"120,000 만원",20.12.05,아파트,방3개,107.74/84.97㎡,고층/-,"특올수리,남향 전망 깨끗 32타입급매 세안고 광역정류장가깝고",경기도  성남시  정자동
46,"상록보성,임광 407동",매매,"120,000 만원",20.12.05,아파트,방3개,107.74/84.97㎡,저층/-,남향 전망 깨끗 32타입급매 세안고 광역정류장가깝고,경기도  성남시  정자동
47,한솔주공6단지 607동,전세,"45,000 만원",20.12.04,아파트,방2개,53.15/37.67㎡,9층/총15층,외부샷시포함특올수리해줌. 남향. 하시. 전망굿,경기도  성남시  정자동
48,한솔주공4단지 408동,전세,"30,000 만원",20.12.03,아파트,방2개,57.53/41.85㎡,고층/-,깨끗 전망 17타입전세 융무 전세대출가 광역장류장가깝고,경기도  성남시  정자동
49,정든한진7차 703동,전세,"70,000 만원",20.12.03,아파트,방3개,88.19/68.04㎡,고층/-,"남향,방3개 신혼집추천,수리 전망27타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
50,한솔주공4단지 402동,전세,"28,000 만원",20.12.03,아파트,방2개,50.04/35.28㎡,저층/-,1층 확장올수리 15타입전세 융무 전세대출가 광역장류장가깝고,경기도  성남시  정자동
51,한솔청구 103동,전세,"90,000 만원",20.12.03,아파트,방3개,126.81/101.99㎡,고층/-,"남향,특올수리,전망 깨끗 38타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
