순위,매물 이름,거래 유형,가격,업로드 날짜,매물 유형,매물 세부사항 (방갯수/면적/층수),상세 설명,위치
38,한솔주공5단지 505동,월세,"6,000 / 120 만원",20.11.06,아파트,"남향추천,수리 깨끗,전망 방3개 30타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
39,판교원마을12단지 1207동,매매,"158,000 만원",20.11.04,아파트,44 BEST 남향 뷰 최상 추천매물.,경기도  성남시  판교동
40,판교원마을12단지 1205동,매매,"148,000 만원",20.11.04,아파트,44 초급매 남향 추천 매물.,경기도  성남시  판교동
41,한솔청구 105동,전세,"42,000 만원",20.12.08,아파트,1월21일. 거실확장. 도배해줌. 싱크대교체. 전등교체. 우수학군,경기도  성남시  정자동
42,한솔청구 105동,전세,"42,000 만원",20.12.07,아파트,1월21일.거실확장. 도배해줌. 싱크대교체. 전등교체. 전망굿,경기도  성남시  정자동
43,느티공무원4단지 408동,전세,"54,000 만원",20.12.05,아파트,"남향추천,조경전망 방3개 27타입 융무 전세대출가 정자환승역도보10분",경기도  성남시  정자동
44,"상록보성,임광 408동",매매,"110,000 만원",20.12.05,아파트,"특올수리,입주물추천,남향 전망깨끗 26타입급매 or전세안고광역정류장가깝고",경기도  성남시  정자동
45,"상록보성,임광 404동",매매,"120,000 만원",20.12.05,아파트,"특올수리,남향 전망 깨끗 32타입급매 세안고 광역정류장가깝고",경기도  성남시  정자동
46,"상록보성,임광 407동",매매,"120,000 만원",20.12.05,아파트,남향 전망 깨끗 32타입급매 세안고 광역정류장가깝고,경기도  성남시  정자동
47,한솔주공6단지 607동,전세,"45,000 만원",20.12.04,아파트,외부샷시포함특올수리해줌. 남향. 하시. 전망굿,경기도  성남시  정자동
48,한솔주공4단지 408동,전세,"30,000 만원",20.12.03,아파트,깨끗 전망 17타입전세 융무 전세대출가 광역장류장가깝고,경기도  성남시  정자동
49,정든한진7차 703동,전세,"70,000 만원",20.12.03,아파트,"남향,방3개 신혼집추천,수리 전망27타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
50,한솔주공4단지 402동,전세,"28,000 만원",20.12.03,아파트,1층 확장올수리 15타입전세 융무 전세대출가 광역장류장가깝고,경기도  성남시  정자동
51,한솔청구 103동,전세,"90,000 만원",20.12.03,아파트,"남향,특올수리,전망 깨끗 38타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
52,한솔3단지한일 302동,전세,"100,000 만원",20.12.03,아파트,"올수리,전망 깨끗 48타입 융무 방4개 전세대출가 광역정류장가깝고",경기도  성남시  정자동
53,한솔LG 204동,전세,"85,000 만원",20.12.03,아파트,"남향,특올수리,전망 깨끗 38타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
54,파크뷰 607동,전세,"155,000 만원",20.12.03,아파트,"추천,확장 올수리 깨끗 63타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
55,정든우성4단지 407동,전세,"115,000 만원",20.12.03,아파트,"남향 샷시포함올수리,전망 깨끗 48타입 융무 방4개 전세대출가",경기도  성남시  정자동
56,한솔LG 207동,전세,"110,000 만원",20.12.03,아파트,"남향,올수리,전망 깨끗 59타입 융무 방5개 전세대출가 광역정류장가깝고",경기도  성남시  정자동
57,한솔LG 207동,전세,"120,000 만원",20.12.03,아파트,"남향,완벽올수리,전망깨끗 59타입 융무 방5개 전세대출가 광역정류장가깝고",경기도  성남시  정자동
58,한솔3단지한일 306동,매매,"130,000 만원",20.12.02,아파트,샷시포함특올수리.불곡산전망.밝고환한집.전세안고,경기도  성남시  정자동
59,파크뷰 603동,매매,"195,000 만원",20.12.02,아파트,로얄동.밝고환한집.입주물,경기도  성남시  정자동
60,판교원마을5단지 505동,월세,"50,000 / 160 만원",20.12.01,아파트,"완전특인테리어, 밝고 따뜻한집, 보증금 조율가능",경기도  성남시  판교동
61,판교원마을3단지 304동,월세,"70,000 / 100 만원",20.12.01,아파트,"예쁜정원조망, 정남향, 입주협의,보증금조정가능",경기도  성남시  판교동
62,느티공무원4단지 306동,매매,"110,000 만원",20.11.30,아파트,"남향,올수리 전망 깨끗 26타입급매 세안고 정자환승역가깝고 광역정류장앞",경기도  성남시  정자동
63,느티공무원4단지 416동,매매,"103,000 만원",20.11.30,아파트,올수리 전망깨끗 24타입급매 전세안고정자환승역가깝고광역정류장앞,경기도  성남시  정자동
64,느티공무원4단지 402동,매매,"100,000 만원",20.11.30,아파트,"입주물추천,방3개,수리깨끗27타입급매 세안고 정자환승역가깝고 광역정류장앞",경기도  성남시  정자동
65,한솔주공5단지 502동,매매,"63,000 만원",20.11.30,아파트,"남향,전망 깨끗,리모텔링추진단지 17타입급매 세안고",경기도  성남시  정자동
66,판교원마을5단지 505동,월세,"60,000 / 130 만원",20.11.30,아파트,"최근 모던한인테리어, 완전깨끗, 보증금조정가능,밝고따뜻",경기도  성남시  판교동
67,한솔주공5단지 509동,매매,"80,000 만원",20.11.30,아파트,"추천,리모델링추진,조경전망 깨끗,방2개22타입급매 세안고 광역정류장가깝고",경기도  성남시  정자동
68,한솔주공5단지 511동,매매,"65,000 만원",20.11.30,아파트,"입주물추천,남향,전망 깨끗,리모텔링추진단지 17타입급매 or세안고",경기도  성남시  정자동
69,느티공무원4단지 305동,매매,"105,000 만원",20.11.30,아파트,올수리 전망 깨끗 26타입급매 세안고 정자환승역가깝고 광역정류장앞,경기도  성남시  정자동
70,느티공무원4단지 401동,매매,"100,000 만원",20.11.30,아파트,"실입주추천,전망 깨끗 24타입급매 or전세안고 정자환승역가깝고광역정류장앞",경기도  성남시  정자동
71,느티선경 112동,매매,"137,000 만원",20.11.30,아파트,"수리 전망,방4개 48타입급매 전세안고 정자환승역가깝고 광역정류장앞",경기도  성남시  정자동
72,느티공무원4단지 405동,매매,"100,000 만원",20.11.30,아파트,특올수리 조경전망 깨끗 26타입급매 세안고 정자환승역가깝고 광역정류장앞,경기도  성남시  정자동
73,느티공무원4단지 405동,매매,"105,000 만원",20.11.30,아파트,"올수리,전망 깨끗 26타입급매 세안고 정자환승역가깝고 광역정류장앞",경기도  성남시  정자동
74,느티공무원4단지 310동,매매,"122,000 만원",20.11.30,아파트,"남향,특올수리 전망 깨끗 26타입급매 세안고 정자환승역가깝고 광역정류장앞",경기도  성남시  정자동
75,느티공무원4단지 415동,매매,"105,000 만원",20.11.30,아파트,수리 전망 깨끗 27타입급매 세안고 정자환승역가깝고 광역정류장앞,경기도  성남시  정자동
76,느티공무원4단지 416동,매매,"103,000 만원",20.11.30,아파트,"특올수리,실입주추천,전망24타입급매 or전세안고정자환승역가깝고광역정류장앞",경기도  성남시  정자동
77,느티공무원4단지 309동,매매,"115,000 만원",20.11.30,아파트,"정남향,수리전망,방3개 27타입급매 전세안고 정자환승역가깝고 광역정류장앞",경기도  성남시  정자동
78,파크뷰 607동,매매,"225,000 만원",20.11.26,아파트,추천매물.최근특올수리.입주물,경기도  성남시  정자동
79,느티공무원4단지 404동,전세,"57,000 만원",20.11.24,아파트,"남향 추천,전망 방3개 27타입 융무 전세대출가 정자환승역10분",경기도  성남시  정자동
80,한솔청구 105동,전세,"46,000 만원",20.11.24,아파트,"추천,전망 깨끗 20타입 융무 전세대출가 광역버스광역장가깝고",경기도  성남시  정자동
81,한솔주공5단지 508동,월세,"15,000 / 90 만원",20.11.24,아파트,"남향추천,올수리,깨끗 전망 30타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
82,"상록보성,임광 408동",월세,"4,000 / 195 만원",20.11.24,아파트,"추천,남향,수리깨끗전망 26타입 보증금조정가 계단식방3개광역정류장가깝고",경기도  성남시  정자동
83,한솔주공5단지 512동,월세,"3,000 / 85 만원",20.11.24,아파트,"남향추천,특완벽올수리,깨끗 전망 19타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
84,파크뷰 605동,매매,"165,000 만원",20.11.23,아파트,세안고 .단지전망 .풀옵션.특깨끗,경기도  성남시  정자동
85,파크뷰 604동,매매,"163,000 만원",20.11.18,아파트,전세세안고.완전깨끗.풀옵션. 전망좋은집,경기도  성남시  정자동
86,파크뷰 602동,매매,"210,000 만원",20.11.18,아파트,특급매.정원전망.특수리,경기도  성남시  정자동
87,한솔주공6단지 609동,매매,"105,000 만원",20.11.18,아파트,샷시포함특올수리. 세안고. 남향. 전망굿. 단지내초등학교,경기도  성남시  정자동
88,한솔주공4단지 402동,전세,"30,000 만원",20.11.17,아파트,"올수리추천,전망 깨끗 15타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
89,한솔주공5단지 511동,월세,"5,000 / 65 만원",20.11.17,아파트,"남향추천,올수리 깨끗 전망 17타입 보증금조정가 정자환승역가깝고",경기도  성남시  정자동
90,판교원마을12단지 1206동,매매,"155,000 만원",20.11.16,아파트,다락 테라스 판상형 매물 추천.,경기도  성남시  판교동
91,한솔주공5단지 512동,월세,"10,000 / 50 만원",20.11.13,아파트,"추천,남향 올수리깨끗 19타입 1억50보증금조정가 광역정류장가깝고입주협의",경기도  성남시  정자동
92,정든우성4단지 407동,월세,"80,000 / 50 만원",20.11.13,아파트,"신혼집추천,남향,수리 깨끗,전망 48타입 융무 보증금조정가 방4개",경기도  성남시  정자동
93,한솔주공4단지 412동,월세,"3,000 / 70 만원",20.11.13,아파트,"추천,올수리 깨끗 전망 15타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
94,판교원마을12단지 1205동,매매,"110,000 만원",20.11.13,아파트,정남향 올수리 인테리어 단장 추천 매물.,경기도  성남시  판교동
95,느티공무원4단지 412동,월세,"3,000 / 150 만원",20.11.13,아파트,"추천,올수리 깨끗 전망 26타입 융무 보증금조정가 정자환승역가깝고",경기도  성남시  정자동
96,파크뷰 610동,월세,"80,000 / 330 만원",20.11.13,아파트,"탄천전망,깨끗,전망 71타입 융무 보증금조정가",경기도  성남시  정자동
97,정든한진7차 705동,월세,"18,000 / 100 만원",20.11.13,아파트,"추천,확장특올수리 깨끗 전망 20타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
98,정든한진7차 705동,월세,"17,000 / 90 만원",20.11.13,아파트,"추천,확장특올수리 깨끗 전망 20타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
99,"상록보성,임광 402동",월세,"10,000 / 100 만원",20.11.13,아파트,"추천,최근특올수리 깨끗 전망 20타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
100,"상록보성,임광 405동",월세,"10,000 / 200 만원",20.11.06,아파트,"추천,남향,올수리 깨끗 전망 32타입 융무 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
101,"상록보성,임광 403동",월세,"20,000 / 200 만원",20.11.06,아파트,"추천,남향,올수리 깨끗 전망 32타입 융무 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
102,정든한진8차 807동,월세,"25,000 / 120 만원",20.11.06,아파트,"신혼집추천,남향,,최근확장올수리,전망 27타입 융무 보증금조정가 방3개",경기도  성남시  정자동
103,정든신화 502동,월세,"35,000 / 70 만원",20.11.06,아파트,"신혼집추천,남향,수리깨끗,전망 27타입 융무 보증금조정가 방3개",경기도  성남시  정자동
104,정든신화 502동,월세,"40,000 / 60 만원",20.11.06,아파트,"신혼집추천,남향,수리깨끗,전망 27타입 융무 보증금조정가 방3개",경기도  성남시  정자동
105,청솔화인 201동,전세,"45,000 만원",20.11.05,아파트,"샷시특올수리,신혼집추천,전망 17타입 융무 전세대출가 미금환승역가깝고",경기도  성남시  금곡동
106,한솔주공4단지 406동,월세,"20,000 / 25 만원",20.11.05,아파트,"신혼집추천,남향,수리 깨끗,전망 17타입 융무 보증금조정가 광역정류장앞",경기도  성남시  정자동
107,느티공무원4단지 412동,월세,"5,000 / 130 만원",20.11.05,아파트,"추천,올수리 깨끗 전망 26타입 보증금조정가 정자환승역가깝고",경기도  성남시  정자동
108,느티공무원4단지 309동,월세,"30,000 / 70 만원",20.11.05,아파트,"남향추천,올수리 깨끗전망 27타입 보증금조정가 방3개 정자환승역가깝고",경기도  성남시  정자동
109,느티공무원4단지 412동,월세,"3,000 / 150 만원",20.11.05,아파트,"추천,올수리 깨끗 전망 26타입 보증금조정가 정자환승역가깝고",경기도  성남시  정자동
110,한솔주공6단지 605동,월세,"3,000 / 80 만원",20.11.05,아파트,"추천,남향 올수리깨끗 18타입 보증금조정가 광역정류장가깝고 입주협의",경기도  성남시  정자동
111,"상록보성,임광 405동",전세,"82,000 만원",20.11.05,아파트,"남향,확장올수리,깨끗 전망 32타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
112,"상록보성,임광 408동",월세,"5,000 / 190 만원",20.11.05,아파트,"남향추천,올수리 깨끗전망 26타입 보증금조정가 방3개 정자환승역가깝고",경기도  성남시  정자동
113,한솔주공4단지 417동,월세,"18,500 / 40 만원",20.11.05,아파트,"샷시포함올수리,전망 깨끗 15타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
114,청솔계룡 107동,전세,"58,000 만원",20.11.05,아파트,"수리 깨끗,방3개추천,전망 22타입 융무 전세대출가 미금환승역가깝고",경기도  성남시  금곡동
115,한솔주공6단지 610동,월세,"10,000 / 110 만원",20.11.05,아파트,"남향추천,특올수리,전망 방2개 26타입 융무 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
116,한솔주공4단지 405동,월세,"3,000 / 90 만원",20.11.05,아파트,"올수리,전망 깨끗 15타입 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
117,한솔청구 105동,월세,"10,000 / 130 만원",20.11.05,아파트,"추천,완전특올수리,전망 방2개 20타입 융무 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
118,느티공무원4단지 312동,월세,"30,000 / 60 만원",20.11.05,아파트,"신혼집추천,남향 수리깨끗 전망 27타입 보증금조정가 방3개정자환승역가깝고",경기도  성남시  정자동
119,한솔주공4단지 406동,전세,"35,000 만원",20.11.05,아파트,"신혼집추천,남향,특올수리 17타입 융무 전세대출가 광역정류장가깝고",경기도  성남시  정자동
120,느티공무원4단지 412동,월세,"30,000 / 50 만원",20.11.05,아파트,"추천,올수리 깨끗 전망 26타입 25천65만원보증금조정가 정자환승역가깝고",경기도  성남시  정자동
121,한솔주공5단지 512동,월세,"3,000 / 70 만원",20.11.05,아파트,"추천,남향 수리 깨끗 19타입 융무 보증금조정가 광역정류장가깝고 입주협의",경기도  성남시  정자동
122,청솔화인 206동,전세,"85,000 만원",20.11.05,아파트,"남향,특올수리추천,전망 깨끗 32타입 융무 전세대출가 미금환승역가깝고",경기도  성남시  금곡동
123,한솔주공4단지 414동,월세,"15,000 / 60 만원",20.11.05,아파트,"추천,남향 올수리깨끗 19타입 융무 보증금조정가 광역정류장가깝고 입주협의",경기도  성남시  정자동
124,한솔주공4단지 408동,월세,"12,500 / 45 만원",20.11.05,아파트,"추천,남향 수리깨끗 17타입 2억30만원 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
125,느티공무원3단지 311동,월세,"21,000 / 70 만원",20.11.05,아파트,"화포올수리,전망 방2개 26타입 융무 보증금조정가 정자환승역가깝고",경기도  성남시  정자동
126,한솔주공6단지 602동,월세,"3,000 / 70 만원",20.11.05,아파트,"수리 깨끗,전망 16타입 보증금조정가 광역정류장앞",경기도  성남시  정자동
127,"상록보성,임광 408동",전세,"75,000 만원",20.11.05,아파트,"남향추천,특올수리,전망 26타입 융무 방3개 전세대출가 정자환승역5분",경기도  성남시  정자동
128,느티공무원4단지 412동,전세,"50,000 만원",20.11.05,아파트,"남향,신혼집추천,특올수리,전망 26타입 융무 전세대출가 정자환승역5분",경기도  성남시  정자동
129,한솔주공5단지 510동,월세,"12,000 / 70 만원",20.11.05,아파트,"남향추천,특올수리,전망 방2개 22타입 융무 보증금조정가 광역정류장가깝고",경기도  성남시  정자동
130,시범한양 301동,매매,"95,000 만원",20.12.08,아파트,올수리 깨끗 입주가능 중앙공원 전망,경기도  성남시  서현동
131,매화주공3단지 305동,전세,"25,700 만원",20.12.08,아파트,"빠른입주가능합니다.올수리깨끗,저렴하게 나온물건입니다",경기도  성남시  야탑동
132,양지5단지한양 511동,전세,"35,000 만원",20.12.08,아파트,14P 특올수리상태좋아요 로얄동 로얄층 전망좋고 조용 수내역5분,경기도  성남시  수내동
133,백현마을1단지푸르지오그랑블 114동,매매,"250,000 만원",20.12.08,아파트,판교초역 특올수리 쾌적하고 밝은전망 보평학군 매수를 권장합니다.,경기도  성남시  백현동
134,장안타운건영2차 114동,매매,"110,000 만원",20.12.08,아파트,48p  특올수리 되었으며 전망좋은집 세안고,경기도  성남시  분당동
135,양지5단지한양 512동,매매,"61,000 만원",20.12.08,아파트,입주일협의가능 올수리 전망 조용한동,경기도  성남시  수내동
136,매화공무원2단지 211동,매매,"70,000 만원",20.12.07,아파트,세안고매매 또는21년8월25일이후 입주가능,경기도  성남시  야탑동
137,시범현대 427동,전세,"95,000 만원",20.12.07,아파트,"33형,특올수리,확장,융자무,정상입주,분당초1분,중앙공원.서현역근접",경기도  성남시  서현동
138,백현마을5단지 509동,매매,"158,000 만원",20.12.07,아파트,급매 세안고수리굿 역세권,경기도  성남시  백현동
139,봇들마을9단지 902동,전세,"135,000 만원",20.12.07,아파트,밝고환한집  관리상태좋은집 귀한매물 참조은 부동산,경기도  성남시  삼평동
140,정든동아1단지 106동,매매,"150,000 만원",20.12.07,아파트,정상.주인거주.올수리.남향.조용하고쾌적한단지.,경기도  성남시  정자동
141,미켈란쉐르빌 D동,월세,"60,000 / 200 만원",20.12.07,아파트,62 시스템에어컨 융무 좋은 평면,경기도  성남시  정자동
142,"양지3,5단지금호한양 523동",전세,"120,000 만원",20.12.07,아파트,확장올수리 융자무 전망 학군우수 수내초역세권 탑층,경기도  성남시  수내동
143,장미코오롱 137동,전세,"55,000 만원",20.12.07,아파트,확장올수리 . 입주협의 . 저렴한전세,경기도  성남시  야탑동
144,시범한양 330동,매매,"46,000 만원",20.12.07,아파트,초급매 로얄동 로얄층 전망트임  급히 매매 서현역세권,경기도  성남시  서현동
145,백현마을7단지 701동,매매,"170,000 만원",20.12.07,아파트,짧은세안고 입주협의 역세권,경기도  성남시  백현동
